id;count;ax67
071012183;1.000;0090
071036675;1.000;0090
071043640;1.000;0090
071047761;1.000;0090
071048172;1.000;0090
071073407;1.000;0090
071073884;2.000;0090
071074187;1.000;0090
071074274;1.000;0090
071074486;1.000;0090
071075302;1.000;0090
071075989;2.000;0090
071075993;1.000;0090
071077024;1.000;0090
071077721;1.000;0090
071078230;2.000;0090
071079274;1.000;0090
071079520;1.000;0090
071079849;1.000;0090
071082784;1.000;0090
071082788;1.000;0090
071083289;1.000;0090
071083445;1.000;0090
071084833;1.000;0090
071085073;1.000;0090
071085149;1.000;0090
071086134;2.000;0090
071087317;1.000;0090
071087535;1.000;0090
071088491;1.000;0090
071088604;1.000;0090
071088752;1.000;0090
071089122;3.000;0090
071089618;1.000;0090
071089736;1.000;0090
071089892;1.000;0090
071090412;1.000;0090
071090744;1.000;0090
071091010;1.000;0090
071091181;1.000;0090
071093018;1.000;0090
071093183;1.000;0090
071093408;1.000;0090
071093500;1.000;0090
071095597;1.000;0090
071095728;1.000;0090
071096508;5.000;0090
071097430;1.000;0090
071098830;16.000;0090
071099079;1.000;0090
071099330;1.000;0090
071102350;1.000;0090
071104468;1.000;0090
071105439;1.000;0090
071105761;1.000;0090
071105879;1.000;0090
071105884;1.000;0090
071105941;1.000;0090
071105942;1.000;0090
071106291;1.000;0090
071106460;2.000;0090
071106890;2.000;0090
071107474;1.000;0090
071109714;1.000;0090
071111624;1.000;0090
071112240;1.000;0090
071113065;1.000;0090
071114559;1.000;0090
071114645;1.000;0090
071116551;1.000;0090
071117103;1.000;0090
071117107;1.000;0090
071117171;1.000;0090
071117981;1.000;0090
071118127;1.000;0090
071118877;1.000;0090
071120000;2.000;0090
071120626;1.000;0090
071120634;1.000;0090
071120640;1.000;0090
071120742;1.000;0090
071121055;1.000;0090
071121314;1.000;0090
071121487;1.000;0090
071121491;1.000;0090
071122099;1.000;0090
071122176;1.000;0090
071122354;1.000;0090
071122389;1.000;0090
071122465;1.000;0090
071122748;1.000;0090
071124150;1.000;0090
071124172;2.000;0090
071124354;4.000;0090
071124978;1.000;0090
071126060;1.000;0090
071126176;1.000;0090
071126415;1.000;0090
071126750;1.000;0090
071127337;1.000;0090
071127598;4.000;0090
071128533;1.000;0090
071128541;1.000;0090
071128702;1.000;0090
071128814;1.000;0090
071129719;1.000;0090
071129841;1.000;0090
071129886;1.000;0090
071130118;1.000;0090
071130235;1.000;0090
071130303;1.000;0090
071130434;1.000;0090
071130955;1.000;0090
071131207;1.000;0090
071133049;1.000;0090
071133128;1.000;0090
071133245;1.000;0090
071133835;1.000;0090
071133846;1.000;0090
071134448;1.000;0090
071141057;1.000;0090
071144056;1.000;0090
071150307;1.000;0090
071151135;1.000;0090
071151318;1.000;0090
071151779;1.000;0090
071153301;1.000;0090
071153303;1.000;0090
071153332;1.000;0090
071153881;1.000;0090
071154065;3.000;0090
071154171;1.000;0090
071154176;1.000;0090
071154362;2.000;0090
071154839;1.000;0090
071155322;1.000;0090
071157755;1.000;0090
071159360;1.000;0090
071159439;1.000;0090
071159538;1.000;0090
071159544;1.000;0090
071159580;1.000;0090
071160321;3.000;0090
071160798;1.000;0090
071160923;1.000;0090
071160998;1.000;0090
071161000;1.000;0090
071161033;1.000;0090
071161077;1.000;0090
071161238;1.000;0090
071161417;1.000;0090
071161622;1.000;0090
071161890;1.000;0090
071161925;2.000;0090
071163499;1.000;0090
071163655;1.000;0090
071163708;1.000;0090
071164017;1.000;0090
080000686;1.000;0090
